Republican EVs,Democrat EVs,Outcome,Electoral Margin,Binned Margin,Sample
287,251,Trump Wins,36,40,1
270,268,Trump Wins,2,5,1
296,242,Trump Wins,54,55,1
310,228,Trump Wins,82,85,1
285,253,Trump Wins,32,35,1
302,236,Trump Wins,66,70,1
314,224,Trump Wins,90,95,1
283,255,Trump Wins,28,30,1
312,226,Trump Wins,86,90,1
283,255,Trump Wins,28,30,2
287,251,Trump Wins,36,40,2
283,255,Trump Wins,28,30,3
287,251,Trump Wins,36,40,3
290,248,Trump Wins,42,45,1
275,263,Trump Wins,12,15,1
272,266,Trump Wins,6,10,1
301,237,Trump Wins,64,65,1
345,193,Trump Wins,152,155,1
286,252,Trump Wins,34,35,2
273,265,Trump Wins,8,10,2
287,251,Trump Wins,36,40,4
312,226,Trump Wins,86,90,2
295,243,Trump Wins,52,55,2
287,251,Trump Wins,36,40,5
295,243,Trump Wins,52,55,3
301,237,Trump Wins,64,65,2
307,231,Trump Wins,76,80,1
280,258,Trump Wins,22,25,1
298,240,Trump Wins,58,60,1
329,209,Trump Wins,120,125,1
306,232,Trump Wins,74,75,1
291,247,Trump Wins,44,45,2
301,237,Trump Wins,64,65,3
301,237,Trump Wins,64,65,4
283,255,Trump Wins,28,30,4
291,247,Trump Wins,44,45,3
279,259,Trump Wins,20,25,2
286,252,Trump Wins,34,35,3
297,241,Trump Wins,56,60,2
296,242,Trump Wins,54,55,4
312,226,Trump Wins,86,90,3
306,232,Trump Wins,74,75,2
278,260,Trump Wins,18,20,1
286,252,Trump Wins,34,35,4
287,251,Trump Wins,36,40,6
281,257,Trump Wins,24,25,3
271,267,Trump Wins,4,5,2
290,248,Trump Wins,42,45,4
271,267,Trump Wins,4,5,3
302,236,Trump Wins,66,70,2
296,242,Trump Wins,54,55,5
287,251,Trump Wins,36,40,7
291,247,Trump Wins,44,45,5
304,234,Trump Wins,70,75,3
275,263,Trump Wins,12,15,2
315,223,Trump Wins,92,95,2
296,242,Trump Wins,54,55,6
309,229,Trump Wins,80,85,2
285,253,Trump Wins,32,35,5
297,241,Trump Wins,56,60,3
287,251,Trump Wins,36,40,8
316,222,Trump Wins,94,95,3
288,250,Trump Wins,38,40,9
325,213,Trump Wins,112,115,1
320,218,Trump Wins,102,105,1
281,257,Trump Wins,24,25,4
280,258,Trump Wins,22,25,5
334,204,Trump Wins,130,135,1
312,226,Trump Wins,86,90,4
285,253,Trump Wins,32,35,6
284,254,Trump Wins,30,35,7
290,248,Trump Wins,42,45,6
283,255,Trump Wins,28,30,5
319,219,Trump Wins,100,105,2
316,222,Trump Wins,94,95,4
270,268,Trump Wins,2,5,4
280,258,Trump Wins,22,25,6
311,227,Trump Wins,84,85,3
276,262,Trump Wins,14,15,3
306,232,Trump Wins,74,75,4
271,267,Trump Wins,4,5,5
307,231,Trump Wins,76,80,2
305,233,Trump Wins,72,75,5
303,235,Trump Wins,68,70,3
272,266,Trump Wins,6,10,3
312,226,Trump Wins,86,90,5
272,266,Trump Wins,6,10,4
316,222,Trump Wins,94,95,5
286,252,Trump Wins,34,35,8
280,258,Trump Wins,22,25,7
275,263,Trump Wins,12,15,4
285,253,Trump Wins,32,35,9
290,248,Trump Wins,42,45,7
300,238,Trump Wins,62,65,5
296,242,Trump Wins,54,55,7
271,267,Trump Wins,4,5,6
312,226,Trump Wins,86,90,6
301,237,Trump Wins,64,65,6
281,257,Trump Wins,24,25,8
271,267,Trump Wins,4,5,7
280,258,Trump Wins,22,25,9
316,222,Trump Wins,94,95,6
310,228,Trump Wins,82,85,4
295,243,Trump Wins,52,55,8
272,266,Trump Wins,6,10,5
322,216,Trump Wins,106,110,1
275,263,Trump Wins,12,15,5
284,254,Trump Wins,30,35,10
281,257,Trump Wins,24,25,10
281,257,Trump Wins,24,25,11
297,241,Trump Wins,56,60,4
334,204,Trump Wins,130,135,2
316,222,Trump Wins,94,95,7
283,255,Trump Wins,28,30,6
270,268,Trump Wins,2,5,8
306,232,Trump Wins,74,75,6
291,247,Trump Wins,44,45,8
280,258,Trump Wins,22,25,12
293,245,Trump Wins,48,50,1
294,244,Trump Wins,50,55,9
301,237,Trump Wins,64,65,7
281,257,Trump Wins,24,25,13
270,268,Trump Wins,2,5,9
297,241,Trump Wins,56,60,5
270,268,Trump Wins,2,5,10
326,212,Trump Wins,114,115,2
272,266,Trump Wins,6,10,6
304,234,Trump Wins,70,75,7
312,226,Trump Wins,86,90,7
