Description,EV,Config 1,Config 2,Config 3,Config 4,Config 5,Config 6,Config 7,Config 8,Config 9,Config 10,Config 11,Config 12
Count,,1662,1261,820,807,802,728,707,700,524,482,458,433
EVs,538,312,297,293,306,302,291,278,287,268,281,272,296
AK,3,R,R,R,R,R,R,R,R,R,R,R,R
AL,9,R,R,R,R,R,R,R,R,R,R,R,R
AR,6,R,R,R,R,R,R,R,R,R,R,R,R
AZ,11,R,R,R,R,R,R,R,R,R,R,R,R
CA,54,D,D,D,D,D,D,D,D,D,D,D,D
CO,10,D,D,D,D,D,D,D,D,D,D,D,D
CT,7,D,D,D,D,D,D,D,D,D,D,D,D
DC,3,D,D,D,D,D,D,D,D,D,D,D,D
DE,3,D,D,D,D,D,D,D,D,D,D,D,D
FL,30,R,R,R,R,R,R,R,R,R,R,R,R
GA,16,R,R,R,R,R,R,R,R,R,R,R,R
HI,4,D,D,D,D,D,D,D,D,D,D,D,D
IA,6,R,R,R,R,R,R,R,R,R,R,R,R
ID,4,R,R,R,R,R,R,R,R,R,R,R,R
IL,19,D,D,D,D,D,D,D,D,D,D,D,D
IN,11,R,R,R,R,R,R,R,R,R,R,R,R
KS,6,R,R,R,R,R,R,R,R,R,R,R,R
KY,8,R,R,R,R,R,R,R,R,R,R,R,R
LA,8,R,R,R,R,R,R,R,R,R,R,R,R
MA,11,D,D,D,D,D,D,D,D,D,D,D,D
MD,10,D,D,D,D,D,D,D,D,D,D,D,D
ME,2,D,D,D,D,D,D,D,D,D,D,D,D
ME-1,1,D,D,D,D,D,D,D,D,D,D,D,D
ME-2,1,R,R,R,R,R,R,R,R,R,R,R,R
MI,15,R,D,R,R,R,D,D,D,D,D,D,R
MN,10,D,D,D,D,D,D,D,D,D,D,D,D
MO,10,R,R,R,R,R,R,R,R,R,R,R,R
MS,6,R,R,R,R,R,R,R,R,R,R,R,R
MT,4,R,R,R,R,R,R,R,R,R,R,R,R
NC,16,R,R,R,R,R,R,R,R,R,R,R,R
ND,3,R,R,R,R,R,R,R,R,R,R,R,R
NE,2,R,R,R,R,R,R,R,R,R,R,R,R
NE-1,1,R,R,R,R,R,R,R,R,R,R,R,R
NE-2,1,D,D,D,D,D,D,D,D,D,D,D,D
NE-3,1,R,R,R,R,R,R,R,R,R,R,R,R
NH,4,D,D,D,D,D,D,D,D,D,D,D,D
NJ,14,D,D,D,D,D,D,D,D,D,D,D,D
NM,5,D,D,D,D,D,D,D,D,D,D,D,D
NV,6,R,R,R,D,R,D,R,R,R,D,D,D
NY,28,D,D,D,D,D,D,D,D,D,D,D,D
OH,17,R,R,R,R,R,R,R,R,R,R,R,R
OK,7,R,R,R,R,R,R,R,R,R,R,R,R
OR,8,D,D,D,D,D,D,D,D,D,D,D,D
PA,19,R,R,D,R,R,R,D,R,D,R,D,R
RI,4,D,D,D,D,D,D,D,D,D,D,D,D
SC,9,R,R,R,R,R,R,R,R,R,R,R,R
SD,3,R,R,R,R,R,R,R,R,R,R,R,R
TN,11,R,R,R,R,R,R,R,R,R,R,R,R
TX,40,R,R,R,R,R,R,R,R,R,R,R,R
UT,6,R,R,R,R,R,R,R,R,R,R,R,R
VA,13,D,D,D,D,D,D,D,D,D,D,D,D
VT,3,D,D,D,D,D,D,D,D,D,D,D,D
WA,12,D,D,D,D,D,D,D,D,D,D,D,D
WI,10,R,R,R,R,D,R,R,D,D,D,R,D
WV,4,R,R,R,R,R,R,R,R,R,R,R,R
WY,3,R,R,R,R,R,R,R,R,R,R,R,R
